Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1621.T,医薬品,0.11979379041715157,1,0.2,★ LONG ,+20.0
1617.T,食品,0.11898958088861361,2,0.2,★ LONG ,+20.0
1630.T,小売,0.11774115167403265,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.11090791721192914,4,0.2,★ LONG ,+20.0
1633.T,不動産,0.005749472628644839,5,0.2,★ LONG ,+20.0
1619.T,建設・資材,0.005361913861239133,6,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,0.004377084348668201,7,0.0,  -   ,+0.0
1628.T,運輸・物流,0.0030311562863243003,8,0.0,  -   ,+0.0
1620.T,素材・化学,0.0014285771413613624,9,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.0003404106862847264,10,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.005375503845012017,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.005819438644747121,12,0.0,  -   ,+0.0
1624.T,機械,-0.011732015937876584,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.11135497509011419,14,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.1194481401640538,15,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.11976687695587847,16,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.12425499169084883,17,-0.2,▼ SHORT,-20.0
