Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1617.T,食品,0.08720874904192394,1,0.2,★ LONG ,+20.0
1621.T,医薬品,0.08207968262918573,2,0.2,★ LONG ,+20.0
1630.T,小売,0.08120757471523389,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.07962201476133333,4,0.2,★ LONG ,+20.0
1628.T,運輸・物流,0.008117703191952406,5,0.2,★ LONG ,+20.0
1633.T,不動産,0.004992115166196006,6,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,0.004783705654754652,7,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.0003169130069149941,8,0.0,  -   ,+0.0
1619.T,建設・資材,-0.00048372909731991164,9,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.007185967726840731,10,0.0,  -   ,+0.0
1620.T,素材・化学,-0.0072494104802943785,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.01127181392990918,12,0.0,  -   ,+0.0
1624.T,機械,-0.01197268478500364,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.07264101301181447,14,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.07520701674274254,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.08218509873460934,16,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.08842411200732589,17,-0.2,▼ SHORT,-20.0
