Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1625.T,電機・精密,0.007971482031892848,1,0.2,★ LONG ,+20.0
1618.T,エネルギー資源,0.0076697627971207575,2,0.2,★ LONG ,+20.0
1629.T,商社・卸売,0.007649132759027603,3,0.2,★ LONG ,+20.0
1631.T,銀行,0.0065777111409384015,4,0.2,★ LONG ,+20.0
1626.T,情報通信・サービス,0.0016923769636661102,5,0.2,★ LONG ,+20.0
1624.T,機械,0.0007011970242280219,6,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,0.0004296787609971886,7,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,3.216530654056145e-05,8,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-2.3262344877131693e-05,9,0.0,  -   ,+0.0
1620.T,素材・化学,-0.0005841094371022695,10,0.0,  -   ,+0.0
1633.T,不動産,-0.0008304935771009971,11,0.0,  -   ,+0.0
1619.T,建設・資材,-0.0011171876775347646,12,0.0,  -   ,+0.0
1628.T,運輸・物流,-0.0013075046585381582,13,-0.2,▼ SHORT,-20.0
1630.T,小売,-0.006785603763373054,14,-0.2,▼ SHORT,-20.0
1627.T,電力・ガス,-0.007161019426867287,15,-0.2,▼ SHORT,-20.0
1617.T,食品,-0.007710809252531389,16,-0.2,▼ SHORT,-20.0
1621.T,医薬品,-0.007738956138652074,17,-0.2,▼ SHORT,-20.0
