Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1617.T,食品,0.1528554490241481,1,0.2,★ LONG ,+20.0
1621.T,医薬品,0.14458014284394435,2,0.2,★ LONG ,+20.0
1630.T,小売,0.14235115282543326,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.14177060957056878,4,0.2,★ LONG ,+20.0
1628.T,運輸・物流,0.01868335591118421,5,0.2,★ LONG ,+20.0
1633.T,不動産,0.010882257963960522,6,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,0.0037749203075427952,7,0.0,  -   ,+0.0
1619.T,建設・資材,0.0010218703806971002,8,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.002189716699466746,9,0.0,  -   ,+0.0
1620.T,素材・化学,-0.012269205942398885,10,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.015189244306576343,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.021966664330048537,12,0.0,  -   ,+0.0
1624.T,機械,-0.023430233391017317,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.12554279979966335,14,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.13434466520266725,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.14170401162026064,16,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.1531512505740426,17,-0.2,▼ SHORT,-20.0
