Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1617.T,食品,0.13391514773871144,1,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.13080805432944234,2,0.2,★ LONG ,+20.0
1621.T,医薬品,0.1304598262631205,3,0.2,★ LONG ,+20.0
1630.T,小売,0.12372021449729625,4,0.2,★ LONG ,+20.0
1628.T,運輸・物流,0.0019162491407104924,5,0.2,★ LONG ,+20.0
1632.T,金融（除く銀行）,0.0018985122984719474,6,0.0,  -   ,+0.0
1620.T,素材・化学,-0.0014015580937600343,7,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.0027424368127267795,8,0.0,  -   ,+0.0
1619.T,建設・資材,-0.0036449195718583306,9,0.0,  -   ,+0.0
1624.T,機械,-0.0053911090687962515,10,0.0,  -   ,+0.0
1633.T,不動産,-0.005431825977632103,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.009131567343638092,12,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.01290230302321569,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.12104838322487566,14,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.12133177124404318,15,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.12821856601927062,16,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.13445562307718323,17,-0.2,▼ SHORT,-20.0
