Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1618.T,エネルギー資源,0.18994028628820395,1,0.2,★ LONG ,+20.0
1629.T,商社・卸売,0.18948404058043983,2,0.2,★ LONG ,+20.0
1625.T,電機・精密,0.17588745700465952,3,0.2,★ LONG ,+20.0
1631.T,銀行,0.17453942197961184,4,0.2,★ LONG ,+20.0
1623.T,鉄鋼・非鉄,0.014102626250838572,5,0.2,★ LONG ,+20.0
1624.T,機械,0.008793128299141492,6,0.0,  -   ,+0.0
1622.T,自動車・輸送機,0.005520265984472393,7,0.0,  -   ,+0.0
1619.T,建設・資材,-0.003816411943943577,8,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.006721117232143591,9,0.0,  -   ,+0.0
1620.T,素材・化学,-0.007464137086158116,10,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,-0.007470625549931876,11,0.0,  -   ,+0.0
1633.T,不動産,-0.007635003997312449,12,0.0,  -   ,+0.0
1628.T,運輸・物流,-0.008591647895589015,13,-0.2,▼ SHORT,-20.0
1627.T,電力・ガス,-0.18087978109048117,14,-0.2,▼ SHORT,-20.0
1617.T,食品,-0.19237856349647287,15,-0.2,▼ SHORT,-20.0
1630.T,小売,-0.19734358966007146,16,-0.2,▼ SHORT,-20.0
1621.T,医薬品,-0.20341838117188493,17,-0.2,▼ SHORT,-20.0
