Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1617.T,食品,0.09587019347590027,1,0.2,★ LONG ,+20.0
1630.T,小売,0.09547021160747123,2,0.2,★ LONG ,+20.0
1621.T,医薬品,0.0912125487187099,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.08821848684060386,4,0.2,★ LONG ,+20.0
1620.T,素材・化学,-0.002259327483561752,5,0.2,★ LONG ,+20.0
1628.T,運輸・物流,-0.002668262413507903,6,0.0,  -   ,+0.0
1633.T,不動産,-0.0039405561659594645,7,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,-0.00424849479772441,8,0.0,  -   ,+0.0
1619.T,建設・資材,-0.004393717262601854,9,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.0045488158032646366,10,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.004965997679824281,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.011928795744524004,12,-0.2,▼ SHORT,-20.0
1624.T,機械,-0.013876425945918461,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.10239720682426151,14,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.10902014461522976,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.11194767594249146,16,-0.2,▼ SHORT,-20.0
