Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1617.T,食品,0.20835442858673614,1,0.2,★ LONG ,+20.0
1630.T,小売,0.2071401476593592,2,0.2,★ LONG ,+20.0
1621.T,医薬品,0.20014954481592814,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.17562430094696813,4,0.2,★ LONG ,+20.0
1632.T,金融（除く銀行）,0.010723523177563062,5,0.2,★ LONG ,+20.0
1633.T,不動産,0.010653549348547165,6,0.0,  -   ,+0.0
1619.T,建設・資材,0.009900930184217466,7,0.0,  -   ,+0.0
1620.T,素材・化学,0.007390020177921402,8,0.0,  -   ,+0.0
1628.T,運輸・物流,0.007230070172529204,9,0.0,  -   ,+0.0
1626.T,情報通信・サービス,0.0045579455898789156,10,0.0,  -   ,+0.0
1622.T,自動車・輸送機,0.0021641828225860936,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.011893511076559326,12,0.0,  -   ,+0.0
1624.T,機械,-0.019055284210886404,13,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.1898712976385386,14,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.19210582275661603,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.2048270325716931,16,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.22480995124346054,17,-0.2,▼ SHORT,-20.0
