Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1617.T,食品,0.2612199996713853,1,0.2,★ LONG ,+20.0
1621.T,医薬品,0.2604020401947599,2,0.2,★ LONG ,+20.0
1630.T,小売,0.2557979813743437,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.25168994869753397,4,0.2,★ LONG ,+20.0
1628.T,運輸・物流,0.011525670408385449,5,0.2,★ LONG ,+20.0
1632.T,金融（除く銀行）,0.007052235033790443,6,0.0,  -   ,+0.0
1620.T,素材・化学,0.00464558829794305,7,0.0,  -   ,+0.0
1619.T,建設・資材,0.004609680755033618,8,0.0,  -   ,+0.0
1633.T,不動産,0.003878061590623985,9,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.005741858251384467,10,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.006856080513578365,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.014319958861256225,12,0.0,  -   ,+0.0
1624.T,機械,-0.020718242741957348,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.245511643333445,14,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.24916139501515627,15,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.2558447245253815,16,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.27196827889317204,17,-0.2,▼ SHORT,-20.0
