Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1630.T,小売,0.26389708802310385,1,0.2,★ LONG ,+20.0
1617.T,食品,0.25978325037674477,2,0.2,★ LONG ,+20.0
1621.T,医薬品,0.24997107562014598,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.20816992620118605,4,0.2,★ LONG ,+20.0
1628.T,運輸・物流,0.008316931842694164,5,0.2,★ LONG ,+20.0
1620.T,素材・化学,0.007470197263526012,6,0.0,  -   ,+0.0
1633.T,不動産,0.004507821319254819,7,0.0,  -   ,+0.0
1622.T,自動車・輸送機,0.0032171769515494456,8,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,0.002580862876435652,9,0.0,  -   ,+0.0
1619.T,建設・資材,0.002437335439493625,10,0.0,  -   ,+0.0
1626.T,情報通信・サービス,3.627113218726205e-05,11,0.0,  -   ,+0.0
1624.T,機械,-0.030260224146039634,12,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.03266095909928028,13,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.2406313143860884,14,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.24617789613150662,15,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.2479862278235504,16,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.2792953562146202,17,-0.2,▼ SHORT,-20.0
