Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1621.T,医薬品,0.01913494150158456,1,0.2,★ LONG ,+20.0
1630.T,小売,0.018310978934878694,2,0.2,★ LONG ,+20.0
1617.T,食品,0.017507496104923158,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.01704381974976724,4,0.2,★ LONG ,+20.0
1628.T,運輸・物流,7.92344671777422e-05,5,0.2,★ LONG ,+20.0
1632.T,金融（除く銀行）,-0.000189566350640186,6,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.00020542075990183755,7,0.0,  -   ,+0.0
1633.T,不動産,-0.0002799843058471479,8,0.0,  -   ,+0.0
1620.T,素材・化学,-0.0003231643814967743,9,0.0,  -   ,+0.0
1619.T,建設・資材,-0.0008500536045328177,10,0.0,  -   ,+0.0
1624.T,機械,-0.001534179897867194,11,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.0017383423767830712,12,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.0022563231161680736,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.01750195006772015,14,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.01785169550541797,15,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.018454430113724003,16,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.019114539170311837,17,-0.2,▼ SHORT,-20.0
