Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1617.T,食品,0.05988490557742218,1,0.2,★ LONG ,+20.0
1621.T,医薬品,0.05887193876117154,2,0.2,★ LONG ,+20.0
1630.T,小売,0.05527564836880714,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.053378937053104265,4,0.2,★ LONG ,+20.0
1628.T,運輸・物流,0.013800910795777346,5,0.2,★ LONG ,+20.0
1633.T,不動産,0.0060596910998801205,6,0.0,  -   ,+0.0
1619.T,建設・資材,0.0032222823476396895,7,0.0,  -   ,+0.0
1622.T,自動車・輸送機,0.0028003574715378555,8,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,-0.00129472547900885,9,0.0,  -   ,+0.0
1620.T,素材・化学,-0.0038515755079894017,10,0.0,  -   ,+0.0
1624.T,機械,-0.006148477720125731,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.009082320791955697,12,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.01199964836781011,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.046434974273088105,14,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.047640175257120235,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.05382714349168097,16,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.06177995223542286,17,-0.2,▼ SHORT,-20.0
