Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1630.T,小売,0.1714845555384517,1,0.2,★ LONG ,+20.0
1617.T,食品,0.17070911388221643,2,0.2,★ LONG ,+20.0
1621.T,医薬品,0.16329069366508064,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.15895008126680388,4,0.2,★ LONG ,+20.0
1626.T,情報通信・サービス,-0.005433836804379819,5,0.2,★ LONG ,+20.0
1628.T,運輸・物流,-0.006229854221583109,6,0.0,  -   ,+0.0
1620.T,素材・化学,-0.006302107320293889,7,0.0,  -   ,+0.0
1633.T,不動産,-0.007014605554443349,8,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,-0.0084585850842776,9,0.0,  -   ,+0.0
1619.T,建設・資材,-0.008538165659130646,10,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.010563181166021637,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.021673003959894847,12,-0.2,▼ SHORT,-20.0
1624.T,機械,-0.02581972932684788,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.1849739907749763,14,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.19673857263574637,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.20112045178459248,16,-0.2,▼ SHORT,-20.0
