Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1618.T,エネルギー資源,0.18560680916481265,1,0.2,★ LONG ,+20.0
1629.T,商社・卸売,0.177480515255242,2,0.2,★ LONG ,+20.0
1631.T,銀行,0.1607056234046512,3,0.2,★ LONG ,+20.0
1624.T,機械,0.018437382150625257,4,0.2,★ LONG ,+20.0
1623.T,鉄鋼・非鉄,0.015996035431528607,5,0.2,★ LONG ,+20.0
1622.T,自動車・輸送機,0.010886153739546404,6,0.0,  -   ,+0.0
1626.T,情報通信・サービス,0.007841976156268526,7,0.0,  -   ,+0.0
1628.T,運輸・物流,0.005731797773807567,8,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,0.003263555981862832,9,0.0,  -   ,+0.0
1633.T,不動産,0.0003573994308002839,10,0.0,  -   ,+0.0
1619.T,建設・資材,-8.411817328688679e-05,11,0.0,  -   ,+0.0
1620.T,素材・化学,-0.0031599804485911345,12,-0.2,▼ SHORT,-20.0
1627.T,電力・ガス,-0.1344814123883964,13,-0.2,▼ SHORT,-20.0
1621.T,医薬品,-0.1458281892496292,14,-0.2,▼ SHORT,-20.0
1617.T,食品,-0.1533623692850254,15,-0.2,▼ SHORT,-20.0
1630.T,小売,-0.15342336586931185,16,-0.2,▼ SHORT,-20.0
