Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1630.T,小売,0.21107818195685438,1,0.2,★ LONG ,+20.0
1617.T,食品,0.20401194203469217,2,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.18782755709464047,3,0.2,★ LONG ,+20.0
1621.T,医薬品,0.186337008995225,4,0.2,★ LONG ,+20.0
1633.T,不動産,0.026387211044431726,5,0.2,★ LONG ,+20.0
1628.T,運輸・物流,0.021504674543659074,6,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,0.018221025006197142,7,0.0,  -   ,+0.0
1626.T,情報通信・サービス,-0.00043160335605840067,8,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.0020397634788298464,9,0.0,  -   ,+0.0
1619.T,建設・資材,-0.008777667963382314,10,0.0,  -   ,+0.0
1620.T,素材・化学,-0.03068261498299821,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.032805994525923025,12,0.0,  -   ,+0.0
1624.T,機械,-0.04010308911106636,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.16498092047738944,14,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.17436554395561138,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.17448208184094632,16,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.1998364119762233,17,-0.2,▼ SHORT,-20.0
