Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1630.T,小売,0.012775449052039624,1,0.2,★ LONG ,+20.0
1621.T,医薬品,0.0120599001755982,2,0.2,★ LONG ,+20.0
1617.T,食品,0.011244874301385039,3,0.2,★ LONG ,+20.0
1633.T,不動産,0.006431624529378554,4,0.2,★ LONG ,+20.0
1619.T,建設・資材,0.005855671477130073,5,0.2,★ LONG ,+20.0
1632.T,金融（除く銀行）,0.004785783240925568,6,0.0,  -   ,+0.0
1622.T,自動車・輸送機,0.003830470872966484,7,0.0,  -   ,+0.0
1620.T,素材・化学,0.0035506407468238158,8,0.0,  -   ,+0.0
1627.T,電力・ガス,0.0034992295439535397,9,0.0,  -   ,+0.0
1626.T,情報通信・サービス,0.0030179603989754014,10,0.0,  -   ,+0.0
1628.T,運輸・物流,0.001967807926636458,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-8.792620501900709e-06,12,0.0,  -   ,+0.0
1624.T,機械,-0.0024582849221188984,13,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.004961688753923234,14,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.006535979006097719,15,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.007803958039929408,16,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.014767822373494527,17,-0.2,▼ SHORT,-20.0
