Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1630.T,小売,0.1803753091896165,1,0.2,★ LONG ,+20.0
1621.T,医薬品,0.1803687924604288,2,0.2,★ LONG ,+20.0
1617.T,食品,0.1766228064401823,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.1603010277626576,4,0.2,★ LONG ,+20.0
1633.T,不動産,0.009718446897232641,5,0.2,★ LONG ,+20.0
1620.T,素材・化学,0.009330255709448116,6,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,0.008715061652989655,7,0.0,  -   ,+0.0
1619.T,建設・資材,0.00841045970551426,8,0.0,  -   ,+0.0
1626.T,情報通信・サービス,0.00764378909217738,9,0.0,  -   ,+0.0
1628.T,運輸・物流,0.007457075787405707,10,0.0,  -   ,+0.0
1622.T,自動車・輸送機,0.0006139007818689052,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.009069337456887702,12,0.0,  -   ,+0.0
1624.T,機械,-0.009201479431961843,13,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.15701198877745293,14,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.16045198040205405,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.17037126557751225,16,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.1788357044199444,17,-0.2,▼ SHORT,-20.0
