日付,合計損益(円),損益率(%),勝敗,ポジション数
2026-05-21,-15230,-1.538,L,10
2026-05-22,-3662,-0.370,L,10
2026-05-26,8508,0.859,W,10
2026-05-27,-9066,-0.916,L,9
2026-05-28,1099,0.111,W,8
2026-05-29,-21500,-2.172,L,5
