Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1625.T,電機・精密,0.14499103179266878,1,0.2,★ LONG ,+20.0
1629.T,商社・卸売,0.12450966842813602,2,0.2,★ LONG ,+20.0
1618.T,エネルギー資源,0.12000875945859937,3,0.2,★ LONG ,+20.0
1631.T,銀行,0.1120903789206355,4,0.2,★ LONG ,+20.0
1624.T,機械,0.025901640079136347,5,0.2,★ LONG ,+20.0
1623.T,鉄鋼・非鉄,0.024309754045432296,6,0.0,  -   ,+0.0
1620.T,素材・化学,0.017086046216063903,7,0.0,  -   ,+0.0
1626.T,情報通信・サービス,0.007372339981563116,8,0.0,  -   ,+0.0
1619.T,建設・資材,0.002649145524174658,9,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.0025764823834069795,10,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,-0.015923010235125143,11,0.0,  -   ,+0.0
1633.T,不動産,-0.018283063156200652,12,0.0,  -   ,+0.0
1628.T,運輸・物流,-0.024174855246687253,13,-0.2,▼ SHORT,-20.0
1627.T,電力・ガス,-0.1347298339666147,14,-0.2,▼ SHORT,-20.0
1621.T,医薬品,-0.13581262905476688,15,-0.2,▼ SHORT,-20.0
1630.T,小売,-0.1441321003728652,16,-0.2,▼ SHORT,-20.0
1617.T,食品,-0.1457317635147139,17,-0.2,▼ SHORT,-20.0
