Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1621.T,医薬品,0.11279503816349523,1,0.2,★ LONG ,+20.0
1630.T,小売,0.11215292987452583,2,0.2,★ LONG ,+20.0
1617.T,食品,0.11057572230324447,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.09974629938199175,4,0.2,★ LONG ,+20.0
1620.T,素材・化学,0.0035101545027357733,5,0.2,★ LONG ,+20.0
1633.T,不動産,0.002484295944394643,6,0.0,  -   ,+0.0
1628.T,運輸・物流,0.0019360497983782277,7,0.0,  -   ,+0.0
1632.T,金融（除く銀行）,0.00178100841751678,8,0.0,  -   ,+0.0
1619.T,建設・資材,0.0016354751242498697,9,0.0,  -   ,+0.0
1626.T,情報通信・サービス,0.0007793165053375764,10,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.0030545541695808026,11,0.0,  -   ,+0.0
1624.T,機械,-0.009313134124288793,12,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.0106499036267113,13,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.10418300345534205,14,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.10548816909057945,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.112724711580833,16,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.11689366225853653,17,-0.2,▼ SHORT,-20.0
