Ticker,名称,シグナルスコア,スコア順位,ポジション,方向,ウェイト(%)
1617.T,食品,0.08712398546189207,1,0.2,★ LONG ,+20.0
1621.T,医薬品,0.08694020704218815,2,0.2,★ LONG ,+20.0
1630.T,小売,0.0867619589512246,3,0.2,★ LONG ,+20.0
1627.T,電力・ガス,0.07770797903695603,4,0.2,★ LONG ,+20.0
1619.T,建設・資材,0.006658577675143603,5,0.2,★ LONG ,+20.0
1632.T,金融（除く銀行）,0.005894358327098055,6,0.0,  -   ,+0.0
1628.T,運輸・物流,0.005774442257503724,7,0.0,  -   ,+0.0
1633.T,不動産,0.005535995733699542,8,0.0,  -   ,+0.0
1620.T,素材・化学,0.004057369540370901,9,0.0,  -   ,+0.0
1626.T,情報通信・サービス,0.0021174729696644447,10,0.0,  -   ,+0.0
1622.T,自動車・輸送機,-0.0023606936674799048,11,0.0,  -   ,+0.0
1623.T,鉄鋼・非鉄,-0.006711370827515606,12,0.0,  -   ,+0.0
1624.T,機械,-0.009135140491017732,13,-0.2,▼ SHORT,-20.0
1631.T,銀行,-0.07545209778059911,14,-0.2,▼ SHORT,-20.0
1625.T,電機・精密,-0.08497168968866504,15,-0.2,▼ SHORT,-20.0
1629.T,商社・卸売,-0.08684753736140004,16,-0.2,▼ SHORT,-20.0
1618.T,エネルギー資源,-0.0889882642289993,17,-0.2,▼ SHORT,-20.0
